lat,lon,year,subregion,country,cause,route,origin,toll
32.782782,-112.952022,2016,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Desconocido,1
31.66715,-111.831817,2016,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,El Salvador,1
32.662567,-112.24245,2016,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Desconocido,1
33.15088,-112.39065,2016,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Desconocido,1
32.686317,-112.228633,2016,Norteamérica,United States of America,Violencia,Frontera EE.UU.-México,Desconocido,1
31.749483,-111.615983,2016,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Desconocido,1
32.6087,-112.758533,2016,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Desconocido,1
31.9112,-107.315,2016,Norteamérica,United States of America,Condiciones ambientales extremas,Frontera EE.UU.-México,Guatemala,1
31.9383,-108.922,2016,Norteamérica,United States of America,Condiciones ambientales extremas,Frontera EE.UU.-México,Mexico,1
31.795241,-106.54495,2016,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Mexico,1
31.8207,-107.197,2016,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Mexico,1
31.8353,-108.657,2016,Norteamérica,United States of America,Enfermedad o falta de atención,Frontera EE.UU.-México,Mexico,1
32.550127,-116.941452,2016,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Mexico,1
32.543333,-117.034444,2016,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Mexico,1
32.8385,-116.176472,2016,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Mexico,1
32.619419,-117.025917,2016,Norteamérica,United States of America,Condiciones ambientales extremas,Frontera EE.UU.-México,Mexico,1
32.843056,-116.206111,2016,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Mexico,1
32.534444,-117.123889,2016,Norteamérica,United States of America,Ahogamiento,Frontera EE.UU.-México,Mexico,1
32.820128,-116.538553,2016,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Mexico,1
32.541667,-117.038056,2016,Norteamérica,United States of America,Ahogamiento,Frontera EE.UU.-México,Mexico,1
27.16812,-97.80554,2016,Norteamérica,United States of America,Condiciones ambientales extremas,Frontera EE.UU.-México,Mexico,1
27.2273,-97.727,2016,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,El Salvador,1
27.92234,-99.70839,2016,Norteamérica,United States of America,Condiciones ambientales extremas,Frontera EE.UU.-México,Desconocido,1
27.2851,-97.76456,2016,Norteamérica,United States of America,Condiciones ambientales extremas,Frontera EE.UU.-México,Desconocido,1
27.1362,-97.9927,2016,Norteamérica,United States of America,Condiciones ambientales extremas,Frontera EE.UU.-México,Guatemala,1
27.2335,-97.7271,2016,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,El Salvador,1
27.10408,-97.98523,2016,Norteamérica,United States of America,Condiciones ambientales extremas,Frontera EE.UU.-México,Mexico,1
27.15076,-98.00134,2016,Norteamérica,United States of America,Condiciones ambientales extremas,Frontera EE.UU.-México,Mexico,1
27.37559,-99.4957,2016,Norteamérica,United States of America,Ahogamiento,Frontera EE.UU.-México,Mexico,1
26.0272,-97.65106,2016,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Desconocido,1
31.52753,-111.43748,2016,Norteamérica,United States of America,Condiciones ambientales extremas,Frontera EE.UU.-México,Mexico,1
26.236,-98.5638,2016,Norteamérica,United States of America,Ahogamiento,Frontera EE.UU.-México,Desconocido,1
27.06745,-98.11674,2016,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Mexico,1
27.1663,-98.0373,2016,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Desconocido,1
27.1324,-97.8493,2016,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Desconocido,1
26.9788,-97.8697,2016,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Desconocido,1
27.76929,-99.80978,2016,Norteamérica,United States of America,Ahogamiento,Frontera EE.UU.-México,Desconocido,1
27.22482,-97.86806,2016,Norteamérica,United States of America,Condiciones ambientales extremas,Frontera EE.UU.-México,Mexico,1
26.07103,-98.23437,2016,Norteamérica,United States of America,Ahogamiento,Frontera EE.UU.-México,Mexico,1
32.56667,-113.36667,2016,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Desconocido,1
27.1837,-98.2989,2016,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Mexico,1
26.7747,-98.022,2016,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Desconocido,1
26.18014,-98.4015,2016,Norteamérica,United States of America,Ahogamiento,Frontera EE.UU.-México,Mexico,1
26.37092,-98.82492,2016,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Mexico,1
31.704,-111.85518,2016,Norteamérica,United States of America,Condiciones ambientales extremas,Frontera EE.UU.-México,Mexico,1
27.10869,-98.16333,2016,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Mexico,1
27.16708,-98.45164,2016,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Desconocido,1
27.22788,-97.72298,2016,Norteamérica,United States of America,Condiciones ambientales extremas,Frontera EE.UU.-México,Desconocido,1
32.2532,-113.115,2016,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Desconocido,1
27.1566,-98.1197,2016,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Mexico,1
32.74362,-115.29415,2016,Norteamérica,United States of America,Ahogamiento,Frontera EE.UU.-México,Desconocido,1
26.4106,-99.02651,2016,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Guatemala,1
27.12848,-97.82997,2016,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Mexico,1
27.18519,-98.54447,2016,Norteamérica,United States of America,Condiciones ambientales extremas,Frontera EE.UU.-México,Desconocido,1
27.00128,-98.06449,2016,Norteamérica,United States of America,Condiciones ambientales extremas,Frontera EE.UU.-México,Desconocido,1
27.2973,-98.78092,2016,Norteamérica,United States of America,Condiciones ambientales extremas,Frontera EE.UU.-México,Guatemala,1
27.23411,-98.2198,2016,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Desconocido,1
26.06884,-97.90576,2016,Norteamérica,United States of America,Ahogamiento,Frontera EE.UU.-México,Mexico,1
31.7599,-106.4672,2016,Norteamérica,United States of America,Ahogamiento,Frontera EE.UU.-México,Mexico,1
27.26146,-98.26043,2016,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Desconocido,1
27.45305,-99.49302,2016,Norteamérica,United States of America,Ahogamiento,Frontera EE.UU.-México,Desconocido,1
27.04906,-98.16853,2016,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Desconocido,1
26.1908,-98.42316,2016,Norteamérica,United States of America,Ahogamiento,Frontera EE.UU.-México,Desconocido,1
26.36661,-98.89968,2016,Norteamérica,United States of America,Ahogamiento,Frontera EE.UU.-México,Mexico,1
27.1558,-98.321,2016,Norteamérica,United States of America,Condiciones ambientales extremas,Frontera EE.UU.-México,Desconocido,1
25.93238,-97.54541,2016,Norteamérica,United States of America,Ahogamiento,Frontera EE.UU.-México,Desconocido,1
28.13972,-100.06278,2016,Norteamérica,United States of America,Condiciones ambientales extremas,Frontera EE.UU.-México,Desconocido,1
27.20529,-98.43089,2016,Norteamérica,United States of America,Condiciones ambientales extremas,Frontera EE.UU.-México,Desconocido,1
27.97127,-99.65227,2016,Norteamérica,United States of America,Condiciones ambientales extremas,Frontera EE.UU.-México,Mexico,1
26.1876,-98.397,2016,Norteamérica,United States of America,Ahogamiento,Frontera EE.UU.-México,Desconocido,1
27.92089,-98.94748,2016,Norteamérica,United States of America,Condiciones ambientales extremas,Frontera EE.UU.-México,Mexico,1
26.8835,-97.6464,2016,Norteamérica,United States of America,Condiciones ambientales extremas,Frontera EE.UU.-México,Desconocido,1
27.09882,-98.15295,2016,Norteamérica,United States of America,Condiciones ambientales extremas,Frontera EE.UU.-México,El Salvador,1
27.0195,-98.16354,2016,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Mexico,1
26.8918,-97.7895,2016,Norteamérica,United States of America,Accidente de transporte,Frontera EE.UU.-México,Mexico,1
26.40257,-99.00965,2016,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Mexico,1
26.24738,-98.55315,2016,Norteamérica,United States of America,Ahogamiento,Frontera EE.UU.-México,Mexico,1
27.14422,-98.41356,2016,Norteamérica,United States of America,Condiciones ambientales extremas,Frontera EE.UU.-México,Desconocido,1
27.1892,-97.875,2016,Norteamérica,United States of America,Condiciones ambientales extremas,Frontera EE.UU.-México,Desconocido,1
26.20832,-98.44046,2016,Norteamérica,United States of America,Ahogamiento,Frontera EE.UU.-México,Mexico,1
27.4863,-99.4801,2016,Norteamérica,United States of America,Ahogamiento,Frontera EE.UU.-México,Desconocido,1
27.4969,-99.4926,2016,Norteamérica,United States of America,Ahogamiento,Frontera EE.UU.-México,Mexico,1
26.93569,-98.18392,2016,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Desconocido,1
28.29612,-99.18443,2016,Norteamérica,United States of America,Condiciones ambientales extremas,Frontera EE.UU.-México,Desconocido,1
32.6379,-116.0907,2016,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Desconocido,1
26.18327,-98.40731,2016,Norteamérica,United States of America,Ahogamiento,Frontera EE.UU.-México,Mexico,1
27.92226,-98.93311,2016,Norteamérica,United States of America,Condiciones ambientales extremas,Frontera EE.UU.-México,Mexico,1
27.11521,-98.03754,2016,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Mexico,1
27.66751,-98.77008,2016,Norteamérica,United States of America,Condiciones ambientales extremas,Frontera EE.UU.-México,Mexico,1
26.23181,-98.52187,2016,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Desconocido,1
25.8962,-97.5031,2016,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Desconocido,1
27.1405,-98.3076,2016,Norteamérica,United States of America,Condiciones ambientales extremas,Frontera EE.UU.-México,Mexico,1
27.2354,-97.90788,2016,Norteamérica,United States of America,Condiciones ambientales extremas,Frontera EE.UU.-México,Mexico,1
27.17614,-98.18571,2016,Norteamérica,United States of America,Condiciones ambientales extremas,Frontera EE.UU.-México,Desconocido,1
27.22311,-98.31082,2016,Norteamérica,United States of America,Condiciones ambientales extremas,Frontera EE.UU.-México,Desconocido,1
27.05034,-97.79436,2016,Norteamérica,United States of America,Accidente de transporte,Frontera EE.UU.-México,Mexico,1
31.6544,-106.3178,2016,Norteamérica,United States of America,Ahogamiento,Frontera EE.UU.-México,Mexico,1
27.49043,-98.73998,2016,Norteamérica,United States of America,Condiciones ambientales extremas,Frontera EE.UU.-México,El Salvador,1
25.89284,-97.50408,2016,Norteamérica,United States of America,Ahogamiento,Frontera EE.UU.-México,Desconocido,1
25.9165,-97.52267,2016,Norteamérica,United States of America,Condiciones ambientales extremas,Frontera EE.UU.-México,Mexico,1
27.14325,-98.01228,2016,Norteamérica,United States of America,Condiciones ambientales extremas,Frontera EE.UU.-México,Honduras,1
26.38872,-98.92379,2016,Norteamérica,United States of America,Ahogamiento,Frontera EE.UU.-México,Desconocido,1
28.19029,-100.19627,2016,Norteamérica,United States of America,Ahogamiento,Frontera EE.UU.-México,Mexico,1
31.76136,-106.50463,2016,Norteamérica,United States of America,Accidente de transporte,Frontera EE.UU.-México,Mexico,1
26.9331,-98.223,2016,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Guatemala,1
26.069,-97.9139,2016,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,El Salvador,1
27.61502,-98.90406,2016,Norteamérica,United States of America,Condiciones ambientales extremas,Frontera EE.UU.-México,Desconocido,1
27.5993,-99.53764,2016,Norteamérica,United States of America,Ahogamiento,Frontera EE.UU.-México,Desconocido,1
25.91014,-97.50903,2016,Norteamérica,United States of America,Accidente de transporte,Frontera EE.UU.-México,Mexico,1
27.71781,-99.75842,2016,Norteamérica,United States of America,Ahogamiento,Frontera EE.UU.-México,Desconocido,1
32.03646,-113.02818,2016,Norteamérica,United States of America,Condiciones ambientales extremas,Frontera EE.UU.-México,Desconocido,1
27.0936,-98.0946,2016,Norteamérica,United States of America,Condiciones ambientales extremas,Frontera EE.UU.-México,Mexico,1
27.17592,-98.01374,2016,Norteamérica,United States of America,Condiciones ambientales extremas,Frontera EE.UU.-México,Nicaragua,1
26.8819,-98.3596,2016,Norteamérica,United States of America,Condiciones ambientales extremas,Frontera EE.UU.-México,Mexico,1
27.4973,-99.5199,2016,Norteamérica,United States of America,Ahogamiento,Frontera EE.UU.-México,Mexico,1
27.93168,-98.99717,2016,Norteamérica,United States of America,Condiciones ambientales extremas,Frontera EE.UU.-México,Guatemala,1
32.03893,-110.08602,2016,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Mexico,1
27.44867,-99.49507,2016,Norteamérica,United States of America,Ahogamiento,Frontera EE.UU.-México,Mexico,1
26.2238,-98.4498,2016,Norteamérica,United States of America,Ahogamiento,Frontera EE.UU.-México,Desconocido,1
27.21869,-98.22006,2016,Norteamérica,United States of America,Condiciones ambientales extremas,Frontera EE.UU.-México,Mexico,1
27.35137,-98.84967,2016,Norteamérica,United States of America,Condiciones ambientales extremas,Frontera EE.UU.-México,Guatemala,1
31.93824,-108.92173,2016,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Mexico,1
27.8584,-99.44702,2016,Norteamérica,United States of America,Condiciones ambientales extremas,Frontera EE.UU.-México,Mexico,1
27.0978,-98.2377,2016,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Desconocido,1
26.98704,-98.23624,2016,Norteamérica,United States of America,Condiciones ambientales extremas,Frontera EE.UU.-México,El Salvador,1
31.77755,-111.8808,2016,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Desconocido,1
27.33526,-98.87123,2016,Norteamérica,United States of America,Condiciones ambientales extremas,Frontera EE.UU.-México,Guatemala,1
28.36238,-100.23093,2016,Norteamérica,United States of America,Condiciones ambientales extremas,Frontera EE.UU.-México,Mexico,1
27.06659,-98.10696,2016,Norteamérica,United States of America,Condiciones ambientales extremas,Frontera EE.UU.-México,Honduras,1
27.21932,-98.47812,2016,Norteamérica,United States of America,Condiciones ambientales extremas,Frontera EE.UU.-México,Mexico,1
27.04272,-98.18909,2016,Norteamérica,United States of America,Condiciones ambientales extremas,Frontera EE.UU.-México,Mexico,1
26.18388,-98.40913,2016,Norteamérica,United States of America,Ahogamiento,Frontera EE.UU.-México,Mexico,1
26.2276,-98.4736,2016,Norteamérica,United States of America,Condiciones ambientales extremas,Frontera EE.UU.-México,Mexico,1
32.42052,-113.7979,2016,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Desconocido,1
27.1853,-98.01879,2016,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Mexico,1
27.82579,-98.98117,2016,Norteamérica,United States of America,Condiciones ambientales extremas,Frontera EE.UU.-México,Guatemala,1
26.23965,-98.50524,2016,Norteamérica,United States of America,Condiciones ambientales extremas,Frontera EE.UU.-México,Honduras,1
26.26987,-98.65833,2016,Norteamérica,United States of America,Condiciones ambientales extremas,Frontera EE.UU.-México,Desconocido,1
26.41489,-99.02508,2016,Norteamérica,United States of America,Condiciones ambientales extremas,Frontera EE.UU.-México,El Salvador,1
26.28568,-98.60508,2016,Norteamérica,United States of America,Condiciones ambientales extremas,Frontera EE.UU.-México,Mexico,1
26.28568,-98.60508,2016,Norteamérica,United States of America,Condiciones ambientales extremas,Frontera EE.UU.-México,Desconocido,1
26.0638,-97.9371,2016,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Desconocido,1
27.10419,-98.18559,2016,Norteamérica,United States of America,Condiciones ambientales extremas,Frontera EE.UU.-México,Mexico,1
31.81312,-111.84792,2016,Norteamérica,United States of America,Condiciones ambientales extremas,Frontera EE.UU.-México,Mexico,1
31.46433,-111.309,2016,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Desconocido,1
26.1317,-98.3307,2016,Norteamérica,United States of America,Ahogamiento,Frontera EE.UU.-México,Desconocido,1
26.2477,-98.5115,2016,Norteamérica,United States of America,Condiciones ambientales extremas,Frontera EE.UU.-México,Mexico,1
